,COUNT,Star,Year,University,POS
980,1,2 Star,2019,Liberty,OFFENSE
981,7,3 Star,2019,Liberty,DEFENSE
982,4,3 Star,2019,Liberty,OFFENSE
983,5,2 Star,2020,Liberty,DEFENSE
984,7,2 Star,2020,Liberty,OFFENSE
985,2,2 Star,2020,Liberty,SPECIAL
986,11,3 Star,2020,Liberty,DEFENSE
987,8,3 Star,2020,Liberty,OFFENSE
988,3,2 Star,2021,Liberty,DEFENSE
989,2,2 Star,2021,Liberty,OFFENSE
990,8,3 Star,2021,Liberty,DEFENSE
991,6,3 Star,2021,Liberty,OFFENSE
992,1,2 Star,2022,Liberty,OFFENSE
993,10,3 Star,2022,Liberty,DEFENSE
994,9,3 Star,2022,Liberty,OFFENSE
995,1,3 Star,2022,Liberty,SPECIAL
996,4,2 Star,2019,Louisiana,DEFENSE
997,4,2 Star,2019,Louisiana,OFFENSE
998,1,2 Star,2019,Louisiana,SPECIAL
999,10,3 Star,2019,Louisiana,DEFENSE
1000,12,3 Star,2019,Louisiana,OFFENSE
1001,1,3 Star,2019,Louisiana,SPECIAL
1002,1,4 Star,2019,Louisiana,DEFENSE
1003,1,2 Star,2020,Louisiana,SPECIAL
1004,7,3 Star,2020,Louisiana,DEFENSE
1005,10,3 Star,2020,Louisiana,OFFENSE
1006,4,3 Star,2020,Louisiana,SPECIAL
1007,1,4 Star,2020,Louisiana,OFFENSE
1008,1,2 Star,2021,Louisiana,OFFENSE
1009,10,3 Star,2021,Louisiana,DEFENSE
1010,15,3 Star,2021,Louisiana,OFFENSE
1011,1,3 Star,2021,Louisiana,SPECIAL
1012,4,3 Star,2022,Louisiana,DEFENSE
1013,7,3 Star,2022,Louisiana,OFFENSE
1014,1,2 Star,2019,Louisiana Tech,DEFENSE
1015,3,2 Star,2019,Louisiana Tech,OFFENSE
1016,1,2 Star,2019,Louisiana Tech,SPECIAL
1017,8,3 Star,2019,Louisiana Tech,DEFENSE
1018,5,3 Star,2019,Louisiana Tech,OFFENSE
1019,3,3 Star,2019,Louisiana Tech,SPECIAL
1020,1,2 Star,2020,Louisiana Tech,DEFENSE
1021,1,2 Star,2020,Louisiana Tech,OFFENSE
1022,15,3 Star,2020,Louisiana Tech,DEFENSE
1023,10,3 Star,2020,Louisiana Tech,OFFENSE
1024,2,3 Star,2020,Louisiana Tech,SPECIAL
1025,8,3 Star,2021,Louisiana Tech,DEFENSE
1026,10,3 Star,2021,Louisiana Tech,OFFENSE
1027,6,3 Star,2022,Louisiana Tech,DEFENSE
1028,10,3 Star,2022,Louisiana Tech,OFFENSE
1029,1,3 Star,2022,Louisiana Tech,SPECIAL
1030,1,4 Star,2022,Louisiana Tech,OFFENSE
1031,7,2 Star,2019,ULM,DEFENSE
1032,4,2 Star,2019,ULM,OFFENSE
1033,4,3 Star,2019,ULM,DEFENSE
1034,5,3 Star,2019,ULM,OFFENSE
1035,2,2 Star,2020,ULM,DEFENSE
1036,3,2 Star,2020,ULM,OFFENSE
1037,10,3 Star,2020,ULM,DEFENSE
1038,9,3 Star,2020,ULM,OFFENSE
1039,2,2 Star,2021,ULM,DEFENSE
1040,2,2 Star,2021,ULM,OFFENSE
1041,13,3 Star,2021,ULM,DEFENSE
1042,11,3 Star,2021,ULM,OFFENSE
1043,1,3 Star,2021,ULM,SPECIAL
1044,1,2 Star,2022,ULM,DEFENSE
1045,2,2 Star,2022,ULM,OFFENSE
1046,2,3 Star,2022,ULM,DEFENSE
1047,3,3 Star,2022,ULM,OFFENSE
1048,7,3 Star,2019,Louisville,DEFENSE
1049,10,3 Star,2019,Louisville,OFFENSE
1050,2,3 Star,2019,Louisville,SPECIAL
1051,2,4 Star,2019,Louisville,DEFENSE
1052,13,3 Star,2020,Louisville,DEFENSE
1053,12,3 Star,2020,Louisville,OFFENSE
1054,4,3 Star,2020,Louisville,SPECIAL
1055,1,2 Star,2021,Louisville,OFFENSE
1056,16,3 Star,2021,Louisville,DEFENSE
1057,10,3 Star,2021,Louisville,OFFENSE
1058,1,3 Star,2021,Louisville,SPECIAL
1059,1,4 Star,2021,Louisville,DEFENSE
1060,1,2 Star,2022,Louisville,DEFENSE
1061,10,3 Star,2022,Louisville,DEFENSE
1062,10,3 Star,2022,Louisville,OFFENSE
1063,2,4 Star,2022,Louisville,DEFENSE
1064,3,4 Star,2022,Louisville,OFFENSE
1065,1,2 Star,2019,Marshall,DEFENSE
1066,3,2 Star,2019,Marshall,OFFENSE
1067,2,2 Star,2019,Marshall,SPECIAL
1068,19,3 Star,2019,Marshall,DEFENSE
1069,12,3 Star,2019,Marshall,OFFENSE
1070,3,2 Star,2020,Marshall,DEFENSE
1071,4,2 Star,2020,Marshall,OFFENSE
1072,1,2 Star,2020,Marshall,SPECIAL
1073,9,3 Star,2020,Marshall,DEFENSE
1074,9,3 Star,2020,Marshall,OFFENSE
1075,1,4 Star,2020,Marshall,DEFENSE
1076,1,2 Star,2021,Marshall,DEFENSE
1077,1,2 Star,2021,Marshall,OFFENSE
1078,1,2 Star,2021,Marshall,SPECIAL
1079,6,3 Star,2021,Marshall,DEFENSE
1080,8,3 Star,2021,Marshall,OFFENSE
1081,1,4 Star,2021,Marshall,DEFENSE
1082,1,2 Star,2022,Marshall,DEFENSE
1083,14,3 Star,2022,Marshall,DEFENSE
1084,19,3 Star,2022,Marshall,OFFENSE
1085,1,3 Star,2022,Marshall,SPECIAL
1086,1,5 Star,2022,Marshall,OFFENSE
1087,1,2 Star,2019,Maryland,OFFENSE
1088,9,3 Star,2019,Maryland,DEFENSE
1089,8,3 Star,2019,Maryland,OFFENSE
1090,1,3 Star,2019,Maryland,SPECIAL
1091,3,4 Star,2019,Maryland,DEFENSE
1092,2,4 Star,2019,Maryland,OFFENSE
1093,2,2 Star,2020,Maryland,OFFENSE
1094,15,3 Star,2020,Maryland,DEFENSE
1095,12,3 Star,2020,Maryland,OFFENSE
1096,1,4 Star,2020,Maryland,DEFENSE
1097,1,4 Star,2020,Maryland,OFFENSE
1098,1,5 Star,2020,Maryland,OFFENSE
1099,8,3 Star,2021,Maryland,DEFENSE
1100,10,3 Star,2021,Maryland,OFFENSE
1101,1,3 Star,2021,Maryland,SPECIAL
1102,4,4 Star,2021,Maryland,DEFENSE
1103,1,5 Star,2021,Maryland,DEFENSE
1104,6,3 Star,2022,Maryland,DEFENSE
1105,8,3 Star,2022,Maryland,OFFENSE
1106,3,3 Star,2022,Maryland,SPECIAL
1107,1,4 Star,2022,Maryland,DEFENSE
1108,3,4 Star,2022,Maryland,OFFENSE
1109,1,4 Star,2022,Maryland,SPECIAL
1110,5,2 Star,2019,Massachusetts,DEFENSE
1111,3,2 Star,2019,Massachusetts,OFFENSE
1112,7,3 Star,2019,Massachusetts,DEFENSE
1113,8,3 Star,2019,Massachusetts,OFFENSE
1114,1,3 Star,2019,Massachusetts,SPECIAL
1115,1,4 Star,2019,Massachusetts,DEFENSE
1116,2,2 Star,2020,Massachusetts,DEFENSE
1117,2,2 Star,2020,Massachusetts,OFFENSE
1118,10,3 Star,2020,Massachusetts,DEFENSE
1119,10,3 Star,2020,Massachusetts,OFFENSE
1120,1,3 Star,2020,Massachusetts,SPECIAL
1121,4,2 Star,2021,Massachusetts,DEFENSE
1122,2,2 Star,2021,Massachusetts,OFFENSE
1123,1,2 Star,2021,Massachusetts,SPECIAL
1124,6,3 Star,2021,Massachusetts,DEFENSE
1125,10,3 Star,2021,Massachusetts,OFFENSE
1126,2,3 Star,2021,Massachusetts,SPECIAL
1127,4,2 Star,2022,Massachusetts,DEFENSE
1128,2,2 Star,2022,Massachusetts,OFFENSE
1129,2,2 Star,2022,Massachusetts,SPECIAL
1130,11,3 Star,2022,Massachusetts,DEFENSE
1131,5,3 Star,2022,Massachusetts,OFFENSE
1132,1,3 Star,2022,Massachusetts,SPECIAL
1133,1,2 Star,2019,Memphis,OFFENSE
1134,11,3 Star,2019,Memphis,DEFENSE
1135,12,3 Star,2019,Memphis,OFFENSE
1136,1,3 Star,2019,Memphis,SPECIAL
1137,1,4 Star,2019,Memphis,DEFENSE
1138,1,4 Star,2019,Memphis,OFFENSE
1139,7,3 Star,2020,Memphis,DEFENSE
1140,12,3 Star,2020,Memphis,OFFENSE
1141,1,3 Star,2020,Memphis,SPECIAL
1142,1,2 Star,2021,Memphis,OFFENSE
1143,1,2 Star,2021,Memphis,SPECIAL
1144,17,3 Star,2021,Memphis,DEFENSE
1145,14,3 Star,2021,Memphis,OFFENSE
1146,3,3 Star,2021,Memphis,SPECIAL
1147,1,4 Star,2021,Memphis,DEFENSE
1148,1,4 Star,2021,Memphis,OFFENSE
1149,1,2 Star,2022,Memphis,DEFENSE
1150,13,3 Star,2022,Memphis,DEFENSE
1151,10,3 Star,2022,Memphis,OFFENSE
1152,1,4 Star,2022,Memphis,OFFENSE
1153,1,2 Star,2019,Miami (FL),DEFENSE
1154,1,2 Star,2019,Miami (FL),OFFENSE
1155,4,3 Star,2019,Miami (FL),DEFENSE
1156,7,3 Star,2019,Miami (FL),OFFENSE
1157,1,3 Star,2019,Miami (FL),SPECIAL
1158,9,4 Star,2019,Miami (FL),DEFENSE
1159,5,4 Star,2019,Miami (FL),OFFENSE
1160,6,3 Star,2020,Miami (FL),DEFENSE
1161,5,3 Star,2020,Miami (FL),OFFENSE
1162,2,3 Star,2020,Miami (FL),SPECIAL
1163,6,4 Star,2020,Miami (FL),DEFENSE
1164,7,4 Star,2020,Miami (FL),OFFENSE
1165,5,3 Star,2021,Miami (FL),DEFENSE
1166,3,3 Star,2021,Miami (FL),OFFENSE
1167,2,3 Star,2021,Miami (FL),SPECIAL
1168,3,4 Star,2021,Miami (FL),DEFENSE
1169,10,4 Star,2021,Miami (FL),OFFENSE
1170,1,4 Star,2021,Miami (FL),SPECIAL
1171,2,5 Star,2021,Miami (FL),DEFENSE
1172,7,3 Star,2022,Miami (FL),DEFENSE
1173,5,3 Star,2022,Miami (FL),OFFENSE
1174,7,4 Star,2022,Miami (FL),DEFENSE
1175,5,4 Star,2022,Miami (FL),OFFENSE
1176,1,4 Star,2022,Miami (FL),SPECIAL
1177,7,2 Star,2019,Miami (OH),DEFENSE
1178,6,2 Star,2019,Miami (OH),OFFENSE
1179,1,2 Star,2019,Miami (OH),SPECIAL
1180,8,3 Star,2019,Miami (OH),DEFENSE
1181,7,3 Star,2019,Miami (OH),OFFENSE
1182,2,3 Star,2019,Miami (OH),SPECIAL
1183,1,2 Star,2020,Miami (OH),DEFENSE
1184,4,2 Star,2020,Miami (OH),OFFENSE
1185,1,2 Star,2020,Miami (OH),SPECIAL
1186,4,3 Star,2020,Miami (OH),DEFENSE
1187,15,3 Star,2020,Miami (OH),OFFENSE
1188,2,3 Star,2020,Miami (OH),SPECIAL
1189,2,2 Star,2021,Miami (OH),DEFENSE
1190,1,2 Star,2021,Miami (OH),OFFENSE
1191,10,3 Star,2021,Miami (OH),DEFENSE
1192,10,3 Star,2021,Miami (OH),OFFENSE
1193,2,3 Star,2021,Miami (OH),SPECIAL
1194,12,3 Star,2022,Miami (OH),DEFENSE
1195,9,3 Star,2022,Miami (OH),OFFENSE
1196,2,3 Star,2022,Miami (OH),SPECIAL
1197,1,2 Star,2019,Michigan,OFFENSE
1198,7,3 Star,2019,Michigan,DEFENSE
1199,3,3 Star,2019,Michigan,OFFENSE
1200,1,3 Star,2019,Michigan,SPECIAL
1201,5,4 Star,2019,Michigan,DEFENSE
1202,9,4 Star,2019,Michigan,OFFENSE
1203,2,5 Star,2019,Michigan,DEFENSE
1204,1,2 Star,2020,Michigan,OFFENSE
1205,5,3 Star,2020,Michigan,DEFENSE
1206,3,3 Star,2020,Michigan,OFFENSE
1207,2,3 Star,2020,Michigan,SPECIAL
1208,9,4 Star,2020,Michigan,DEFENSE
1209,6,4 Star,2020,Michigan,OFFENSE
1210,7,3 Star,2021,Michigan,DEFENSE
1211,6,3 Star,2021,Michigan,OFFENSE
1212,1,3 Star,2021,Michigan,SPECIAL
1213,5,4 Star,2021,Michigan,DEFENSE
1214,6,4 Star,2021,Michigan,OFFENSE
1215,1,5 Star,2021,Michigan,OFFENSE
1216,7,3 Star,2022,Michigan,DEFENSE
1217,7,3 Star,2022,Michigan,OFFENSE
1218,5,4 Star,2022,Michigan,DEFENSE
1219,4,4 Star,2022,Michigan,OFFENSE
1220,1,4 Star,2022,Michigan,SPECIAL
1221,1,5 Star,2022,Michigan,DEFENSE
1222,1,2 Star,2019,Michigan St.,SPECIAL
1223,5,3 Star,2019,Michigan St.,DEFENSE
1224,11,3 Star,2019,Michigan St.,OFFENSE
1225,2,3 Star,2019,Michigan St.,SPECIAL
1226,1,4 Star,2019,Michigan St.,DEFENSE
1227,1,4 Star,2019,Michigan St.,OFFENSE
1228,11,3 Star,2020,Michigan St.,DEFENSE
1229,11,3 Star,2020,Michigan St.,OFFENSE
1230,1,3 Star,2020,Michigan St.,SPECIAL
1231,16,3 Star,2021,Michigan St.,DEFENSE
1232,13,3 Star,2021,Michigan St.,OFFENSE
1233,1,3 Star,2021,Michigan St.,SPECIAL
1234,2,4 Star,2021,Michigan St.,DEFENSE
1235,1,4 Star,2021,Michigan St.,OFFENSE
1236,1,2 Star,2022,Michigan St.,OFFENSE
1237,10,3 Star,2022,Michigan St.,DEFENSE
1238,8,3 Star,2022,Michigan St.,OFFENSE
1239,1,3 Star,2022,Michigan St.,SPECIAL
1240,4,4 Star,2022,Michigan St.,DEFENSE
1241,6,4 Star,2022,Michigan St.,OFFENSE
1242,2,4 Star,2022,Michigan St.,SPECIAL
1243,3,2 Star,2019,Middle Tenn.,DEFENSE
1244,1,2 Star,2019,Middle Tenn.,OFFENSE
1245,2,2 Star,2019,Middle Tenn.,SPECIAL
1246,9,3 Star,2019,Middle Tenn.,DEFENSE
1247,10,3 Star,2019,Middle Tenn.,OFFENSE
1248,1,3 Star,2019,Middle Tenn.,SPECIAL
1249,1,2 Star,2020,Middle Tenn.,DEFENSE
1250,1,2 Star,2020,Middle Tenn.,OFFENSE
1251,1,2 Star,2020,Middle Tenn.,SPECIAL
1252,11,3 Star,2020,Middle Tenn.,DEFENSE
1253,8,3 Star,2020,Middle Tenn.,OFFENSE
1254,3,3 Star,2020,Middle Tenn.,SPECIAL
1255,1,4 Star,2020,Middle Tenn.,OFFENSE
1256,5,3 Star,2021,Middle Tenn.,DEFENSE
1257,9,3 Star,2021,Middle Tenn.,OFFENSE
1258,1,3 Star,2022,Middle Tenn.,DEFENSE
1259,10,3 Star,2022,Middle Tenn.,OFFENSE
1260,1,3 Star,2022,Middle Tenn.,SPECIAL
1261,3,2 Star,2019,Minnesota,SPECIAL
1262,11,3 Star,2019,Minnesota,DEFENSE
1263,9,3 Star,2019,Minnesota,OFFENSE
1264,3,3 Star,2019,Minnesota,SPECIAL
1265,1,4 Star,2019,Minnesota,DEFENSE
1266,12,3 Star,2020,Minnesota,DEFENSE
1267,7,3 Star,2020,Minnesota,OFFENSE
1268,3,3 Star,2020,Minnesota,SPECIAL
1269,1,4 Star,2020,Minnesota,DEFENSE
1270,1,4 Star,2020,Minnesota,OFFENSE
1271,1,2 Star,2021,Minnesota,SPECIAL
1272,9,3 Star,2021,Minnesota,DEFENSE
1273,9,3 Star,2021,Minnesota,OFFENSE
1274,1,3 Star,2021,Minnesota,SPECIAL
1275,2,4 Star,2021,Minnesota,DEFENSE
1276,2,4 Star,2021,Minnesota,OFFENSE
1277,10,3 Star,2022,Minnesota,DEFENSE
1278,11,3 Star,2022,Minnesota,OFFENSE
1279,1,3 Star,2022,Minnesota,SPECIAL
1280,2,4 Star,2022,Minnesota,DEFENSE
1281,7,3 Star,2019,Mississippi St.,DEFENSE
1282,11,3 Star,2019,Mississippi St.,OFFENSE
1283,3,3 Star,2019,Mississippi St.,SPECIAL
1284,4,4 Star,2019,Mississippi St.,DEFENSE
1285,1,4 Star,2019,Mississippi St.,OFFENSE
1286,1,5 Star,2019,Mississippi St.,OFFENSE
1287,3,2 Star,2020,Mississippi St.,OFFENSE
1288,10,3 Star,2020,Mississippi St.,DEFENSE
1289,6,3 Star,2020,Mississippi St.,OFFENSE
1290,4,3 Star,2020,Mississippi St.,SPECIAL
1291,2,4 Star,2020,Mississippi St.,DEFENSE
1292,4,4 Star,2020,Mississippi St.,OFFENSE
1293,1,4 Star,2020,Mississippi St.,SPECIAL
1294,1,2 Star,2021,Mississippi St.,DEFENSE
1295,10,3 Star,2021,Mississippi St.,DEFENSE
1296,11,3 Star,2021,Mississippi St.,OFFENSE
1297,1,3 Star,2021,Mississippi St.,SPECIAL
1298,1,4 Star,2021,Mississippi St.,DEFENSE
1299,5,4 Star,2021,Mississippi St.,OFFENSE
1300,2,2 Star,2022,Mississippi St.,SPECIAL
1301,9,3 Star,2022,Mississippi St.,DEFENSE
1302,11,3 Star,2022,Mississippi St.,OFFENSE
1303,2,3 Star,2022,Mississippi St.,SPECIAL
1304,4,4 Star,2022,Mississippi St.,DEFENSE
1305,1,4 Star,2022,Mississippi St.,OFFENSE
1306,1,2 Star,2019,Missouri,OFFENSE
1307,13,3 Star,2019,Missouri,DEFENSE
1308,8,3 Star,2019,Missouri,OFFENSE
1309,1,4 Star,2019,Missouri,DEFENSE
1310,4,4 Star,2019,Missouri,OFFENSE
1311,1,2 Star,2020,Missouri,OFFENSE
1312,7,3 Star,2020,Missouri,DEFENSE
1313,8,3 Star,2020,Missouri,OFFENSE
1314,2,3 Star,2020,Missouri,SPECIAL
1315,2,4 Star,2020,Missouri,OFFENSE
1316,2,2 Star,2021,Missouri,DEFENSE
1317,16,3 Star,2021,Missouri,DEFENSE
1318,9,3 Star,2021,Missouri,OFFENSE
1319,1,4 Star,2021,Missouri,DEFENSE
1320,1,4 Star,2021,Missouri,OFFENSE
1321,8,3 Star,2022,Missouri,DEFENSE
1322,8,3 Star,2022,Missouri,OFFENSE
1323,5,4 Star,2022,Missouri,DEFENSE
1324,4,4 Star,2022,Missouri,OFFENSE
1325,1,5 Star,2022,Missouri,OFFENSE
1326,1,2 Star,2019,NC State,DEFENSE
1327,1,2 Star,2019,NC State,OFFENSE
1328,1,2 Star,2019,NC State,SPECIAL
1329,8,3 Star,2019,NC State,DEFENSE
1330,12,3 Star,2019,NC State,OFFENSE
1331,4,4 Star,2019,NC State,DEFENSE
1332,1,4 Star,2019,NC State,OFFENSE
1333,1,2 Star,2020,NC State,SPECIAL
1334,9,3 Star,2020,NC State,DEFENSE
1335,10,3 Star,2020,NC State,OFFENSE
1336,1,4 Star,2020,NC State,DEFENSE
1337,1,4 Star,2020,NC State,OFFENSE
1338,1,2 Star,2021,NC State,SPECIAL
1339,11,3 Star,2021,NC State,DEFENSE
1340,10,3 Star,2021,NC State,OFFENSE
1341,1,4 Star,2021,NC State,DEFENSE
1342,2,4 Star,2021,NC State,OFFENSE
1343,6,3 Star,2022,NC State,DEFENSE
1344,5,3 Star,2022,NC State,OFFENSE
1345,1,4 Star,2022,NC State,DEFENSE
1346,1,4 Star,2022,NC State,OFFENSE
1347,8,3 Star,2019,Nebraska,DEFENSE
1348,12,3 Star,2019,Nebraska,OFFENSE
1349,3,3 Star,2019,Nebraska,SPECIAL
1350,5,4 Star,2019,Nebraska,DEFENSE
1351,2,4 Star,2019,Nebraska,OFFENSE
1352,1,4 Star,2019,Nebraska,SPECIAL
1353,1,2 Star,2020,Nebraska,DEFENSE
1354,12,3 Star,2020,Nebraska,DEFENSE
1355,6,3 Star,2020,Nebraska,OFFENSE
1356,1,3 Star,2020,Nebraska,SPECIAL
1357,4,4 Star,2020,Nebraska,DEFENSE
1358,7,4 Star,2020,Nebraska,OFFENSE
1359,8,3 Star,2021,Nebraska,DEFENSE
1360,10,3 Star,2021,Nebraska,OFFENSE
1361,2,3 Star,2021,Nebraska,SPECIAL
1362,2,4 Star,2021,Nebraska,DEFENSE
1363,3,4 Star,2021,Nebraska,OFFENSE
1364,1,2 Star,2022,Nebraska,SPECIAL
1365,7,3 Star,2022,Nebraska,DEFENSE
1366,14,3 Star,2022,Nebraska,OFFENSE
1367,4,4 Star,2022,Nebraska,DEFENSE
1368,2,4 Star,2022,Nebraska,OFFENSE
1369,4,2 Star,2019,Nevada,DEFENSE
1370,2,2 Star,2019,Nevada,OFFENSE
1371,1,2 Star,2019,Nevada,SPECIAL
1372,7,3 Star,2019,Nevada,DEFENSE
1373,7,3 Star,2019,Nevada,OFFENSE
1374,1,3 Star,2019,Nevada,SPECIAL
1375,2,2 Star,2020,Nevada,DEFENSE
1376,2,2 Star,2020,Nevada,OFFENSE
1377,3,2 Star,2020,Nevada,SPECIAL
1378,5,3 Star,2020,Nevada,DEFENSE
1379,8,3 Star,2020,Nevada,OFFENSE
1380,4,3 Star,2020,Nevada,SPECIAL
1381,1,2 Star,2021,Nevada,DEFENSE
1382,11,3 Star,2021,Nevada,DEFENSE
1383,12,3 Star,2021,Nevada,OFFENSE
1384,1,3 Star,2021,Nevada,SPECIAL
1385,1,4 Star,2021,Nevada,OFFENSE
1386,1,2 Star,2022,Nevada,DEFENSE
1387,2,2 Star,2022,Nevada,OFFENSE
1388,6,3 Star,2022,Nevada,DEFENSE
1389,5,3 Star,2022,Nevada,OFFENSE
1390,1,3 Star,2022,Nevada,SPECIAL
1391,1,4 Star,2022,Nevada,DEFENSE
1392,1,4 Star,2022,Nevada,OFFENSE
1393,9,2 Star,2019,New Mexico,DEFENSE
1394,4,2 Star,2019,New Mexico,OFFENSE
1395,2,2 Star,2019,New Mexico,SPECIAL
1396,7,3 Star,2019,New Mexico,DEFENSE
1397,5,3 Star,2019,New Mexico,OFFENSE
1398,5,2 Star,2020,New Mexico,DEFENSE
1399,4,2 Star,2020,New Mexico,OFFENSE
1400,8,3 Star,2020,New Mexico,DEFENSE
1401,9,3 Star,2020,New Mexico,OFFENSE
1402,1,3 Star,2020,New Mexico,SPECIAL
1403,1,2 Star,2021,New Mexico,OFFENSE
1404,11,3 Star,2021,New Mexico,DEFENSE
1405,12,3 Star,2021,New Mexico,OFFENSE
1406,2,3 Star,2021,New Mexico,SPECIAL
1407,1,4 Star,2021,New Mexico,OFFENSE
1408,2,2 Star,2022,New Mexico,DEFENSE
1409,6,2 Star,2022,New Mexico,OFFENSE
1410,1,2 Star,2022,New Mexico,SPECIAL
1411,7,3 Star,2022,New Mexico,DEFENSE
1412,6,3 Star,2022,New Mexico,OFFENSE
1413,1,3 Star,2022,New Mexico,SPECIAL
1414,6,2 Star,2019,New Mexico St.,DEFENSE
1415,7,2 Star,2019,New Mexico St.,OFFENSE
1416,1,2 Star,2019,New Mexico St.,SPECIAL
1417,6,3 Star,2019,New Mexico St.,DEFENSE
1418,4,3 Star,2019,New Mexico St.,OFFENSE
1419,1,4 Star,2019,New Mexico St.,OFFENSE
1420,2,2 Star,2020,New Mexico St.,DEFENSE
1421,7,2 Star,2020,New Mexico St.,OFFENSE
1422,5,3 Star,2020,New Mexico St.,DEFENSE
1423,6,3 Star,2020,New Mexico St.,OFFENSE
1424,2,2 Star,2021,New Mexico St.,DEFENSE
1425,1,2 Star,2021,New Mexico St.,OFFENSE
1426,6,3 Star,2021,New Mexico St.,DEFENSE
1427,8,3 Star,2021,New Mexico St.,OFFENSE
1428,2,3 Star,2021,New Mexico St.,SPECIAL
1429,2,2 Star,2022,New Mexico St.,DEFENSE
1430,3,2 Star,2022,New Mexico St.,OFFENSE
1431,1,2 Star,2022,New Mexico St.,SPECIAL
1432,7,3 Star,2022,New Mexico St.,DEFENSE
1433,8,3 Star,2022,New Mexico St.,OFFENSE
1434,1,3 Star,2022,New Mexico St.,SPECIAL
1435,3,2 Star,2019,North Carolina,SPECIAL
1436,11,3 Star,2019,North Carolina,DEFENSE
1437,8,3 Star,2019,North Carolina,OFFENSE
1438,3,4 Star,2019,North Carolina,DEFENSE
1439,3,4 Star,2019,North Carolina,OFFENSE
1440,4,3 Star,2020,North Carolina,DEFENSE
1441,11,3 Star,2020,North Carolina,OFFENSE
1442,1,3 Star,2020,North Carolina,SPECIAL
1443,6,4 Star,2020,North Carolina,DEFENSE
1444,3,4 Star,2020,North Carolina,OFFENSE
1445,1,5 Star,2020,North Carolina,DEFENSE
1446,2,3 Star,2021,North Carolina,DEFENSE
1447,3,3 Star,2021,North Carolina,OFFENSE
1448,2,3 Star,2021,North Carolina,SPECIAL
1449,4,4 Star,2021,North Carolina,DEFENSE
1450,6,4 Star,2021,North Carolina,OFFENSE
1451,2,4 Star,2021,North Carolina,SPECIAL
1452,1,5 Star,2021,North Carolina,DEFENSE
1453,4,3 Star,2022,North Carolina,DEFENSE
1454,5,3 Star,2022,North Carolina,OFFENSE
1455,1,3 Star,2022,North Carolina,SPECIAL
1456,6,4 Star,2022,North Carolina,DEFENSE
1457,4,4 Star,2022,North Carolina,OFFENSE
1458,1,5 Star,2022,North Carolina,DEFENSE
1459,1,5 Star,2022,North Carolina,OFFENSE
1460,1,2 Star,2019,North Texas,DEFENSE
1461,14,3 Star,2019,North Texas,DEFENSE
1462,11,3 Star,2019,North Texas,OFFENSE
1463,1,4 Star,2019,North Texas,DEFENSE
1464,1,2 Star,2020,North Texas,DEFENSE
1465,11,3 Star,2020,North Texas,DEFENSE
1466,14,3 Star,2020,North Texas,OFFENSE
1467,3,2 Star,2021,North Texas,DEFENSE
1468,14,3 Star,2021,North Texas,DEFENSE
1469,9,3 Star,2021,North Texas,OFFENSE
1470,1,4 Star,2021,North Texas,OFFENSE
1471,1,2 Star,2022,North Texas,DEFENSE
1472,7,3 Star,2022,North Texas,DEFENSE
1473,8,3 Star,2022,North Texas,OFFENSE
1474,3,2 Star,2019,NIU,DEFENSE
1475,3,2 Star,2019,NIU,OFFENSE
1476,1,2 Star,2019,NIU,SPECIAL
1477,7,3 Star,2019,NIU,DEFENSE
1478,7,3 Star,2019,NIU,OFFENSE
1479,2,2 Star,2020,NIU,DEFENSE
1480,5,2 Star,2020,NIU,OFFENSE
1481,15,3 Star,2020,NIU,DEFENSE
1482,9,3 Star,2020,NIU,OFFENSE
1483,1,3 Star,2020,NIU,SPECIAL
1484,3,2 Star,2021,NIU,DEFENSE
1485,1,2 Star,2021,NIU,OFFENSE
1486,11,3 Star,2021,NIU,DEFENSE
1487,11,3 Star,2021,NIU,OFFENSE
1488,1,3 Star,2021,NIU,SPECIAL
1489,1,2 Star,2022,NIU,DEFENSE
1490,2,2 Star,2022,NIU,OFFENSE
1491,2,2 Star,2022,NIU,SPECIAL
1492,10,3 Star,2022,NIU,DEFENSE
1493,6,3 Star,2022,NIU,OFFENSE
1494,2,3 Star,2022,NIU,SPECIAL
1495,9,3 Star,2019,Northwestern,DEFENSE
1496,9,3 Star,2019,Northwestern,OFFENSE
1497,2,3 Star,2019,Northwestern,SPECIAL
1498,1,2 Star,2020,Northwestern,OFFENSE
1499,10,3 Star,2020,Northwestern,DEFENSE
1500,8,3 Star,2020,Northwestern,OFFENSE
1501,1,4 Star,2020,Northwestern,OFFENSE
1502,1,2 Star,2021,Northwestern,DEFENSE
1503,7,3 Star,2021,Northwestern,DEFENSE
1504,10,3 Star,2021,Northwestern,OFFENSE
1505,2,3 Star,2021,Northwestern,SPECIAL
1506,1,4 Star,2021,Northwestern,DEFENSE
1507,2,4 Star,2021,Northwestern,OFFENSE
1508,10,3 Star,2022,Northwestern,DEFENSE
1509,5,3 Star,2022,Northwestern,OFFENSE
1510,3,3 Star,2022,Northwestern,SPECIAL
1511,1,4 Star,2022,Northwestern,DEFENSE
1512,1,4 Star,2022,Northwestern,OFFENSE
1513,2,3 Star,2019,Notre Dame,DEFENSE
1514,2,3 Star,2019,Notre Dame,OFFENSE
1515,3,3 Star,2019,Notre Dame,SPECIAL
1516,11,4 Star,2019,Notre Dame,DEFENSE
1517,5,4 Star,2019,Notre Dame,OFFENSE
