field1,COUNT,Star,Year,University,POS
11,4,2 Star,2021,Akron,DEFENSE
12,2,2 Star,2021,Akron,OFFENSE
13,6,3 Star,2021,Akron,DEFENSE
14,7,3 Star,2021,Akron,OFFENSE
15,1,3 Star,2021,Akron,SPECIAL
35,1,2 Star,2021,Alabama,SPECIAL
36,4,3 Star,2021,Alabama,DEFENSE
37,1,3 Star,2021,Alabama,OFFENSE
38,9,4 Star,2021,Alabama,DEFENSE
39,8,4 Star,2021,Alabama,OFFENSE
40,1,4 Star,2021,Alabama,SPECIAL
41,3,5 Star,2021,Alabama,DEFENSE
42,4,5 Star,2021,Alabama,OFFENSE
60,1,2 Star,2021,App State,SPECIAL
61,12,3 Star,2021,App State,DEFENSE
62,12,3 Star,2021,App State,OFFENSE
63,2,3 Star,2021,App State,SPECIAL
77,2,2 Star,2021,Arizona,DEFENSE
78,2,2 Star,2021,Arizona,OFFENSE
79,19,3 Star,2021,Arizona,DEFENSE
80,11,3 Star,2021,Arizona,OFFENSE
81,2,3 Star,2021,Arizona,SPECIAL
101,1,2 Star,2021,Arizona St.,DEFENSE
102,9,3 Star,2021,Arizona St.,DEFENSE
103,8,3 Star,2021,Arizona St.,OFFENSE
104,1,3 Star,2021,Arizona St.,SPECIAL
105,1,4 Star,2021,Arizona St.,DEFENSE
106,2,4 Star,2021,Arizona St.,OFFENSE
107,1,4 Star,2021,Arizona St.,SPECIAL
127,11,3 Star,2021,Arkansas,DEFENSE
128,12,3 Star,2021,Arkansas,OFFENSE
129,2,3 Star,2021,Arkansas,SPECIAL
130,2,4 Star,2021,Arkansas,OFFENSE
131,2,4 Star,2021,Arkansas,SPECIAL
148,2,2 Star,2021,Arkansas St.,DEFENSE
149,10,3 Star,2021,Arkansas St.,DEFENSE
150,17,3 Star,2021,Arkansas St.,OFFENSE
151,1,3 Star,2021,Arkansas St.,SPECIAL
166,14,3 Star,2021,Auburn,DEFENSE
167,10,3 Star,2021,Auburn,OFFENSE
168,1,3 Star,2021,Auburn,SPECIAL
169,6,4 Star,2021,Auburn,DEFENSE
170,1,4 Star,2021,Auburn,OFFENSE
188,2,2 Star,2021,Ball St.,DEFENSE
189,4,2 Star,2021,Ball St.,OFFENSE
190,7,3 Star,2021,Ball St.,DEFENSE
191,10,3 Star,2021,Ball St.,OFFENSE
207,9,3 Star,2021,Baylor,DEFENSE
208,9,3 Star,2021,Baylor,OFFENSE
209,1,4 Star,2021,Baylor,DEFENSE
210,2,4 Star,2021,Baylor,OFFENSE
226,2,2 Star,2021,Boise St.,DEFENSE
227,9,3 Star,2021,Boise St.,DEFENSE
228,10,3 Star,2021,Boise St.,OFFENSE
229,2,3 Star,2021,Boise St.,SPECIAL
245,1,2 Star,2021,Boston College,OFFENSE
246,16,3 Star,2021,Boston College,DEFENSE
247,9,3 Star,2021,Boston College,OFFENSE
248,4,3 Star,2021,Boston College,SPECIAL
249,1,4 Star,2021,Boston College,DEFENSE
250,1,4 Star,2021,Boston College,OFFENSE
267,4,2 Star,2021,Bowling Green,OFFENSE
268,11,3 Star,2021,Bowling Green,DEFENSE
269,8,3 Star,2021,Bowling Green,OFFENSE
270,1,3 Star,2021,Bowling Green,SPECIAL
285,7,3 Star,2021,BYU,DEFENSE
286,8,3 Star,2021,BYU,OFFENSE
287,5,3 Star,2021,BYU,SPECIAL
288,1,4 Star,2021,BYU,OFFENSE
303,4,2 Star,2021,Buffalo,OFFENSE
304,7,3 Star,2021,Buffalo,DEFENSE
305,8,3 Star,2021,Buffalo,OFFENSE
306,2,3 Star,2021,Buffalo,SPECIAL
323,14,3 Star,2021,California,DEFENSE
324,5,3 Star,2021,California,OFFENSE
325,1,4 Star,2021,California,DEFENSE
326,4,4 Star,2021,California,OFFENSE
344,3,2 Star,2021,Central Mich.,DEFENSE
345,2,2 Star,2021,Central Mich.,OFFENSE
346,12,3 Star,2021,Central Mich.,DEFENSE
347,8,3 Star,2021,Central Mich.,OFFENSE
348,2,3 Star,2021,Central Mich.,SPECIAL
364,3,2 Star,2021,Charlotte,DEFENSE
365,2,2 Star,2021,Charlotte,OFFENSE
366,12,3 Star,2021,Charlotte,DEFENSE
367,11,3 Star,2021,Charlotte,OFFENSE
368,1,3 Star,2021,Charlotte,SPECIAL
369,1,4 Star,2021,Charlotte,OFFENSE
384,1,2 Star,2021,Cincinnati,OFFENSE
385,15,3 Star,2021,Cincinnati,DEFENSE
386,7,3 Star,2021,Cincinnati,OFFENSE
387,4,3 Star,2021,Cincinnati,SPECIAL
407,1,3 Star,2021,Clemson,OFFENSE
408,1,3 Star,2021,Clemson,SPECIAL
409,6,4 Star,2021,Clemson,DEFENSE
410,8,4 Star,2021,Clemson,OFFENSE
411,1,5 Star,2021,Clemson,DEFENSE
412,2,5 Star,2021,Clemson,OFFENSE
431,3,2 Star,2021,Coastal Carolina,OFFENSE
432,8,3 Star,2021,Coastal Carolina,DEFENSE
433,9,3 Star,2021,Coastal Carolina,OFFENSE
434,2,3 Star,2021,Coastal Carolina,SPECIAL
453,1,2 Star,2021,Colorado,SPECIAL
454,10,3 Star,2021,Colorado,DEFENSE
455,9,3 Star,2021,Colorado,OFFENSE
456,4,3 Star,2021,Colorado,SPECIAL
457,1,4 Star,2021,Colorado,OFFENSE
473,2,2 Star,2021,Colorado St.,DEFENSE
474,1,2 Star,2021,Colorado St.,OFFENSE
475,1,2 Star,2021,Colorado St.,SPECIAL
476,10,3 Star,2021,Colorado St.,DEFENSE
477,12,3 Star,2021,Colorado St.,OFFENSE
478,2,3 Star,2021,Colorado St.,SPECIAL
492,1,2 Star,2021,UConn,DEFENSE
493,6,3 Star,2021,UConn,DEFENSE
494,8,3 Star,2021,UConn,OFFENSE
495,2,3 Star,2021,UConn,SPECIAL
509,12,3 Star,2021,Duke,DEFENSE
510,9,3 Star,2021,Duke,OFFENSE
511,1,3 Star,2021,Duke,SPECIAL
531,1,2 Star,2021,East Carolina,OFFENSE
532,10,3 Star,2021,East Carolina,DEFENSE
533,10,3 Star,2021,East Carolina,OFFENSE
534,2,3 Star,2021,East Carolina,SPECIAL
535,1,4 Star,2021,East Carolina,DEFENSE
536,1,4 Star,2021,East Carolina,OFFENSE
551,1,2 Star,2021,Eastern Mich.,OFFENSE
552,3,2 Star,2021,Eastern Mich.,SPECIAL
553,7,3 Star,2021,Eastern Mich.,DEFENSE
554,10,3 Star,2021,Eastern Mich.,OFFENSE
555,1,3 Star,2021,Eastern Mich.,SPECIAL
569,2,2 Star,2021,FIU,DEFENSE
570,10,3 Star,2021,FIU,DEFENSE
571,8,3 Star,2021,FIU,OFFENSE
572,1,3 Star,2021,FIU,SPECIAL
590,8,3 Star,2021,Florida,DEFENSE
