field1,COUNT,Star,Year,University,POS
16,1,2 Star,2022,Akron,DEFENSE
17,2,2 Star,2022,Akron,OFFENSE
18,5,3 Star,2022,Akron,DEFENSE
19,10,3 Star,2022,Akron,OFFENSE
20,1,4 Star,2022,Akron,OFFENSE
43,1,3 Star,2022,Alabama,DEFENSE
44,2,3 Star,2022,Alabama,OFFENSE
45,7,4 Star,2022,Alabama,DEFENSE
46,12,4 Star,2022,Alabama,OFFENSE
47,4,4 Star,2022,Alabama,SPECIAL
48,3,5 Star,2022,Alabama,DEFENSE
49,1,5 Star,2022,Alabama,OFFENSE
64,1,2 Star,2022,App State,OFFENSE
65,11,3 Star,2022,App State,DEFENSE
66,5,3 Star,2022,App State,OFFENSE
67,3,3 Star,2022,App State,SPECIAL
82,13,3 Star,2022,Arizona,DEFENSE
83,13,3 Star,2022,Arizona,OFFENSE
84,2,3 Star,2022,Arizona,SPECIAL
85,2,4 Star,2022,Arizona,DEFENSE
86,4,4 Star,2022,Arizona,OFFENSE
108,6,3 Star,2022,Arizona St.,DEFENSE
109,10,3 Star,2022,Arizona St.,OFFENSE
110,2,3 Star,2022,Arizona St.,SPECIAL
111,2,4 Star,2022,Arizona St.,DEFENSE
112,1,4 Star,2022,Arizona St.,OFFENSE
132,1,2 Star,2022,Arkansas,SPECIAL
133,8,3 Star,2022,Arkansas,DEFENSE
134,6,3 Star,2022,Arkansas,OFFENSE
135,2,3 Star,2022,Arkansas,SPECIAL
136,4,4 Star,2022,Arkansas,DEFENSE
137,6,4 Star,2022,Arkansas,OFFENSE
152,13,3 Star,2022,Arkansas St.,DEFENSE
153,11,3 Star,2022,Arkansas St.,OFFENSE
171,5,3 Star,2022,Auburn,DEFENSE
172,6,3 Star,2022,Auburn,OFFENSE
173,1,3 Star,2022,Auburn,SPECIAL
174,8,4 Star,2022,Auburn,DEFENSE
175,3,4 Star,2022,Auburn,OFFENSE
176,1,4 Star,2022,Auburn,SPECIAL
192,5,2 Star,2022,Ball St.,DEFENSE
193,2,2 Star,2022,Ball St.,OFFENSE
194,5,3 Star,2022,Ball St.,DEFENSE
195,7,3 Star,2022,Ball St.,OFFENSE
196,1,3 Star,2022,Ball St.,SPECIAL
211,9,3 Star,2022,Baylor,DEFENSE
212,10,3 Star,2022,Baylor,OFFENSE
213,3,4 Star,2022,Baylor,DEFENSE
214,1,4 Star,2022,Baylor,OFFENSE
230,9,3 Star,2022,Boise St.,DEFENSE
231,9,3 Star,2022,Boise St.,OFFENSE
232,3,3 Star,2022,Boise St.,SPECIAL
233,1,4 Star,2022,Boise St.,DEFENSE
234,1,4 Star,2022,Boise St.,OFFENSE
251,10,3 Star,2022,Boston College,DEFENSE
252,11,3 Star,2022,Boston College,OFFENSE
253,2,3 Star,2022,Boston College,SPECIAL
254,1,4 Star,2022,Boston College,DEFENSE
255,1,4 Star,2022,Boston College,OFFENSE
271,1,2 Star,2022,Bowling Green,DEFENSE
272,7,3 Star,2022,Bowling Green,DEFENSE
273,6,3 Star,2022,Bowling Green,OFFENSE
289,8,3 Star,2022,BYU,DEFENSE
290,12,3 Star,2022,BYU,OFFENSE
291,6,3 Star,2022,BYU,SPECIAL
292,1,4 Star,2022,BYU,DEFENSE
293,2,4 Star,2022,BYU,OFFENSE
307,1,2 Star,2022,Buffalo,OFFENSE
308,14,3 Star,2022,Buffalo,DEFENSE
309,10,3 Star,2022,Buffalo,OFFENSE
310,1,3 Star,2022,Buffalo,SPECIAL
311,1,4 Star,2022,Buffalo,OFFENSE
327,1,2 Star,2022,California,OFFENSE
328,5,3 Star,2022,California,DEFENSE
329,8,3 Star,2022,California,OFFENSE
330,2,4 Star,2022,California,DEFENSE
331,1,4 Star,2022,California,OFFENSE
349,2,2 Star,2022,Central Mich.,OFFENSE
350,3,3 Star,2022,Central Mich.,DEFENSE
351,10,3 Star,2022,Central Mich.,OFFENSE
352,1,3 Star,2022,Central Mich.,SPECIAL
370,1,2 Star,2022,Charlotte,SPECIAL
371,6,3 Star,2022,Charlotte,DEFENSE
372,5,3 Star,2022,Charlotte,OFFENSE
373,1,3 Star,2022,Charlotte,SPECIAL
388,1,2 Star,2022,Cincinnati,OFFENSE
389,10,3 Star,2022,Cincinnati,DEFENSE
390,10,3 Star,2022,Cincinnati,OFFENSE
391,2,4 Star,2022,Cincinnati,DEFENSE
392,1,4 Star,2022,Cincinnati,OFFENSE
413,5,3 Star,2022,Clemson,DEFENSE
414,4,3 Star,2022,Clemson,OFFENSE
415,2,3 Star,2022,Clemson,SPECIAL
416,4,4 Star,2022,Clemson,DEFENSE
417,4,4 Star,2022,Clemson,OFFENSE
418,1,5 Star,2022,Clemson,DEFENSE
419,1,5 Star,2022,Clemson,OFFENSE
435,1,2 Star,2022,Coastal Carolina,DEFENSE
436,1,2 Star,2022,Coastal Carolina,OFFENSE
437,1,2 Star,2022,Coastal Carolina,SPECIAL
438,7,3 Star,2022,Coastal Carolina,DEFENSE
439,9,3 Star,2022,Coastal Carolina,OFFENSE
440,3,3 Star,2022,Coastal Carolina,SPECIAL
458,13,3 Star,2022,Colorado,DEFENSE
459,13,3 Star,2022,Colorado,OFFENSE
460,2,3 Star,2022,Colorado,SPECIAL
461,1,4 Star,2022,Colorado,OFFENSE
479,7,3 Star,2022,Colorado St.,DEFENSE
480,14,3 Star,2022,Colorado St.,OFFENSE
481,3,3 Star,2022,Colorado St.,SPECIAL
496,1,2 Star,2022,UConn,DEFENSE
497,1,2 Star,2022,UConn,OFFENSE
498,6,3 Star,2022,UConn,DEFENSE
499,6,3 Star,2022,UConn,OFFENSE
500,1,3 Star,2022,UConn,SPECIAL
512,1,2 Star,2022,Duke,OFFENSE
513,5,3 Star,2022,Duke,DEFENSE
514,12,3 Star,2022,Duke,OFFENSE
515,3,3 Star,2022,Duke,SPECIAL
516,1,4 Star,2022,Duke,DEFENSE
537,1,2 Star,2022,East Carolina,OFFENSE
538,2,2 Star,2022,East Carolina,SPECIAL
539,10,3 Star,2022,East Carolina,DEFENSE
540,10,3 Star,2022,East Carolina,OFFENSE
556,2,2 Star,2022,Eastern Mich.,OFFENSE
557,4,3 Star,2022,Eastern Mich.,DEFENSE
558,5,3 Star,2022,Eastern Mich.,OFFENSE
573,1,2 Star,2022,FIU,DEFENSE
574,1,2 Star,2022,FIU,OFFENSE
575,1,2 Star,2022,FIU,SPECIAL
576,10,3 Star,2022,FIU,DEFENSE
577,9,3 Star,2022,FIU,OFFENSE
595,4,3 Star,2022,Florida,DEFENSE
596,8,3 Star,2022,Florida,OFFENSE
597,2,3 Star,2022,Florida,SPECIAL
598,6,4 Star,2022,Florida,DEFENSE
599,4,4 Star,2022,Florida,OFFENSE
616,6,3 Star,2022,Fla. Atlantic,DEFENSE
617,6,3 Star,2022,Fla. Atlantic,OFFENSE
618,1,3 Star,2022,Fla. Atlantic,SPECIAL
637,6,3 Star,2022,Florida St.,DEFENSE
638,10,3 Star,2022,Florida St.,OFFENSE
639,2,3 Star,2022,Florida St.,SPECIAL
640,4,4 Star,2022,Florida St.,DEFENSE
641,5,4 Star,2022,Florida St.,OFFENSE
642,1,4 Star,2022,Florida St.,SPECIAL
656,3,2 Star,2022,Fresno St.,DEFENSE
657,12,3 Star,2022,Fresno St.,DEFENSE
658,12,3 Star,2022,Fresno St.,OFFENSE
682,2,3 Star,2022,Georgia,DEFENSE
683,6,3 Star,2022,Georgia,OFFENSE
684,1,3 Star,2022,Georgia,SPECIAL
685,8,4 Star,2022,Georgia,DEFENSE
686,7,4 Star,2022,Georgia,OFFENSE
687,4,5 Star,2022,Georgia,DEFENSE
688,1,5 Star,2022,Georgia,SPECIAL
706,1,2 Star,2022,Ga. Southern,OFFENSE
707,7,3 Star,2022,Ga. Southern,DEFENSE
708,5,3 Star,2022,Ga. Southern,OFFENSE
709,1,3 Star,2022,Ga. Southern,SPECIAL
710,1,4 Star,2022,Ga. Southern,OFFENSE
